ID,Unnamed:_0,food,Caloric_Value,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density,Health_Label
205,205,pistachio nuts roasted,172,13.7,1.7,7.4,4.0,8.5,2.3,6.3,3.1,0.0,0.008,0.6,0.0,0.0,0.2,0.009,0.0,0.072,0.4,0.2,0.3,0.9,0.0,0.7,0.054,32.1,0.4,1.2,32.7,0.4,140.7,302.1,0.021,32.348,Healthy
206,206,walnut,33,3.3,0.3,0.4,2.4,0.7,0.1,0.8,0.3,0.0,0.041,0.2,0.0,0.064,0.004,0.0,0.037,0.075,0.029,0.018,0.037,0.0,0.06,0.029,4.9,0.058,0.1,7.9,0.2,17.3,22.1,0.06,0.2,10.109,Healthy
207,207,celery seeds,25,1.6,0.1,1.0,0.2,2.7,0.078,1.2,0.8,0.0,0.068,0.4,0.0,0.098,0.05,0.0,0.022,0.2,0.0,0.039,1.1,0.0,0.06,0.0,114.9,0.029,2.9,28.6,0.5,35.6,91.0,0.057,0.5,125.2,Healthy
208,208,hickorynuts dried,788,77.2,8.4,39.1,26.3,21.9,0.0,15.3,7.7,0.0,0.053,3.2,0.0,1.0,0.042,0.0,0.2,1.1,2.1,0.2,2.4,0.0,0.0,0.0,73.2,0.9,2.5,207.6,5.5,403.2,523.2,0.038,5.2,200.2,Healthy
209,209,spanish peanuts roasted,851,72.1,11.1,32.4,25.0,25.7,0.0,41.2,13.1,0.0,0.6,2.6,0.0,0.5,0.2,0.0,0.1,22.0,2.0,0.4,0.0,0.0,0.0,0.0,147.0,1.0,3.4,247.0,3.5,568.9,1140.7,0.083,2.9,302.5,Healthy
210,210,woca seeds dried,102,0.3,0.025,0.044,0.059,22.6,0.1,2.2,5.4,0.0,0.048,2.6,0.0,0.029,0.092,0.0,0.042,1.2,0.4,0.3,0.0,0.0,10.1,0.0,7.6,0.041,0.4,24.3,0.3,64.8,156.5,0.021,1.8,38.5,Healthy
211,211,pecans roasted,215,22.6,2.2,12.3,7.1,3.9,1.2,2.8,2.9,0.0,0.062,0.3,0.0,0.1,0.053,0.0,0.02,0.4,0.2,0.071,0.2,0.0,0.8,0.0,20.1,0.4,0.7,36.3,1.1,78.9,117.6,0.004,1.3,53.2,Healthy
212,212,fennel seeds,7,0.3,0.008,0.2,0.065,1.0,0.0,0.3,0.8,0.0,0.097,0.2,0.0,0.021,0.0,0.0,0.092,0.1,0.0,0.045,0.4,0.0,0.0,0.0,23.9,0.051,0.4,7.7,0.1,9.7,33.9,0.0,0.042,27.1,Healthy
213,213,chinese chestnuts roasted,68,0.3,0.027,0.2,0.073,14.8,0.0,1.3,0.0,0.0,0.052,11.4,0.0,0.036,0.1,0.0,0.037,0.4,0.2,0.1,10.9,0.0,0.0,0.0,5.4,0.1,0.4,25.5,0.5,28.9,135.0,0.0,0.3,33.1,Healthy
214,214,watermelon seed kernels dried,602,51.2,10.6,8.0,30.3,16.5,0.0,30.6,0.0,0.0,0.1,5.5,0.0,0.2,0.038,0.0,0.2,3.8,0.4,0.032,0.0,0.0,0.0,0.0,58.3,0.7,7.9,556.2,1.7,815.4,699.8,0.0,11.1,164.5,Healthy
